id,llm_label,raw_response,model
o4hmthg,reaction,reaction,openai/gpt-oss-20b
o9gv8ld,banter,banter,openai/gpt-oss-20b
o9fmqi6,hot_take,hot_take,openai/gpt-oss-20b
o9gncax,reaction,reaction,openai/gpt-oss-20b
o9f2o6g,hot_take,hot_take,openai/gpt-oss-20b
o9eyvi9,hot_take,hot_take,openai/gpt-oss-20b
o9ia7el,hot_take,hot_take,openai/gpt-oss-20b
o9m78yv,hot_take,hot_take,openai/gpt-oss-20b
o9f30bn,analysis,analysis,openai/gpt-oss-20b
o9dq5cj,banter,banter,openai/gpt-oss-20b
o9dvhet,hot_take,hot_take,openai/gpt-oss-20b
o9d7s1j,hot_take,hot_take,openai/gpt-oss-20b
o9d6nh1,hot_take,hot_take,openai/gpt-oss-20b
o9dalxi,banter,banter,openai/gpt-oss-20b
o9db5pe,analysis,analysis,openai/gpt-oss-20b
o9gsy6f,hot_take,hot_take,openai/gpt-oss-20b
o9ff8it,hot_take,hot_take,openai/gpt-oss-20b
o9eod0i,hot_take,hot_take,openai/gpt-oss-20b
o9eikff,hot_take,hot_take,openai/gpt-oss-20b
o9estw4,hot_take,hot_take,openai/gpt-oss-20b
o9fnahm,hot_take,hot_take,openai/gpt-oss-20b
o9ef1e9,hot_take,hot_take,openai/gpt-oss-20b
o9ecof5,hot_take,hot_take,openai/gpt-oss-20b
o9ek8b6,banter,banter,openai/gpt-oss-20b
o9dktjh,reaction,reaction,openai/gpt-oss-20b
o9df2st,hot_take,hot_take,openai/gpt-oss-20b
o9dpg9z,hot_take,hot_take,openai/gpt-oss-20b
o9dn9ji,hot_take,hot_take,openai/gpt-oss-20b
o9dnq1g,hot_take,hot_take,openai/gpt-oss-20b
o9drgtr,hot_take,hot_take,openai/gpt-oss-20b
o9iknuq,hot_take,hot_take,openai/gpt-oss-20b
o9ddb1c,banter,banter,openai/gpt-oss-20b
o9cvrcn,banter,banter,openai/gpt-oss-20b
o9d767m,banter,banter,openai/gpt-oss-20b
o9ctj4q,hot_take,hot_take,openai/gpt-oss-20b
o9db596,banter,banter,openai/gpt-oss-20b
o9g6an3,hot_take,hot_take,openai/gpt-oss-20b
o9fgjxc,reaction,reaction,openai/gpt-oss-20b
o9cwv6b,reaction,reaction,openai/gpt-oss-20b
o9e3ndr,hot_take,hot_take,openai/gpt-oss-20b
o9e1u9i,reaction,reaction,openai/gpt-oss-20b
o9e1lnn,hot_take,hot_take,openai/gpt-oss-20b
o9e1yqv,reaction,reaction,openai/gpt-oss-20b
o9e180e,hot_take,hot_take,openai/gpt-oss-20b
o9ekvie,reaction,reaction,openai/gpt-oss-20b
o9e26ts,hot_take,hot_take,openai/gpt-oss-20b
o9eagvi,reaction,reaction,openai/gpt-oss-20b
ofsxzq4,banter,banter,openai/gpt-oss-20b
ofsn2ll,banter,banter,openai/gpt-oss-20b
oftv4xx,hot_take,hot_take,openai/gpt-oss-20b
oft3j74,hot_take,hot_take,openai/gpt-oss-20b
oft1zbe,hot_take,hot_take,openai/gpt-oss-20b
ogeqdrh,hot_take,hot_take,openai/gpt-oss-20b
ofvco5z,hot_take,hot_take,openai/gpt-oss-20b
ofv9p6g,banter,banter,openai/gpt-oss-20b
ofvyb09,hot_take,hot_take,openai/gpt-oss-20b
og0g6t7,banter,banter,openai/gpt-oss-20b
og7la7j,hot_take,hot_take,openai/gpt-oss-20b
ofspcrs,hot_take,hot_take,openai/gpt-oss-20b
ofu4kyc,hot_take,hot_take,openai/gpt-oss-20b
ofsuudx,hot_take,hot_take,openai/gpt-oss-20b
ofw6nur,banter,banter,openai/gpt-oss-20b
ofu70yk,hot_take,hot_take,openai/gpt-oss-20b
ofsocx7,hot_take,hot_take,openai/gpt-oss-20b
ofzhgkh,hot_take,hot_take,openai/gpt-oss-20b
og66x2n,hot_take,hot_take,openai/gpt-oss-20b
ofvell2,reaction,reaction,openai/gpt-oss-20b
ofvievs,analysis,analysis,openai/gpt-oss-20b
ofvpepb,banter,banter,openai/gpt-oss-20b
oigygql,banter,banter,openai/gpt-oss-20b
oih63ge,banter,banter,openai/gpt-oss-20b
oiho06z,hot_take,hot_take,openai/gpt-oss-20b
oigy8hx,banter,banter,openai/gpt-oss-20b
oiiy0sw,hot_take,hot_take,openai/gpt-oss-20b
oihfldx,banter,banter,openai/gpt-oss-20b
oilck2w,banter,banter,openai/gpt-oss-20b
oiib717,hot_take,hot_take,openai/gpt-oss-20b
oii6ee5,analysis,analysis,openai/gpt-oss-20b
oiirr7c,hot_take,hot_take,openai/gpt-oss-20b
oii6ja9,hot_take,hot_take,openai/gpt-oss-20b
oilje1n,banter,banter,openai/gpt-oss-20b
oii7fyt,hot_take,hot_take,openai/gpt-oss-20b
oiglyvd,hot_take,hot_take,openai/gpt-oss-20b
oih3juj,banter,banter,openai/gpt-oss-20b
oigimak,hot_take,hot_take,openai/gpt-oss-20b
oihbzyn,reaction,reaction,openai/gpt-oss-20b
oih6am5,hot_take,hot_take,openai/gpt-oss-20b
oij9lc0,hot_take,hot_take,openai/gpt-oss-20b
oih3qut,hot_take,hot_take,openai/gpt-oss-20b
oihvv0k,banter,banter,openai/gpt-oss-20b
oil3bxb,hot_take,hot_take,openai/gpt-oss-20b
oihyr5v,hot_take,hot_take,openai/gpt-oss-20b
oih5q65,hot_take,hot_take,openai/gpt-oss-20b
oikm1y3,banter,banter,openai/gpt-oss-20b
oigtin1,hot_take,hot_take,openai/gpt-oss-20b
oigsa7r,hot_take,hot_take,openai/gpt-oss-20b
oijh8tw,hot_take,hot_take,openai/gpt-oss-20b
oinpdnn,reaction,reaction,openai/gpt-oss-20b
oigooik,hot_take,hot_take,openai/gpt-oss-20b
oih6d3e,hot_take,hot_take,openai/gpt-oss-20b
oikt6f2,hot_take,hot_take,openai/gpt-oss-20b
oihazn5,reaction,reaction,openai/gpt-oss-20b
oih433l,hot_take,hot_take,openai/gpt-oss-20b
oih41mc,hot_take,hot_take,openai/gpt-oss-20b
oihbd2q,banter,banter,openai/gpt-oss-20b
oij6kky,hot_take,hot_take,openai/gpt-oss-20b
oigu99k,reaction,reaction,openai/gpt-oss-20b
oihm2hn,hot_take,hot_take,openai/gpt-oss-20b
oigupay,banter,banter,openai/gpt-oss-20b
oigwq0p,hot_take,hot_take,openai/gpt-oss-20b
oiltlg3,hot_take,hot_take,openai/gpt-oss-20b
oihtwz9,hot_take,hot_take,openai/gpt-oss-20b
oih71uj,reaction,reaction,openai/gpt-oss-20b
ol6p7ju,hot_take,hot_take,openai/gpt-oss-20b
ol5nm8i,banter,banter,openai/gpt-oss-20b
ol5xxmr,reaction,reaction,openai/gpt-oss-20b
ol6dli2,analysis,analysis,openai/gpt-oss-20b
olcld9y,hot_take,hot_take,openai/gpt-oss-20b
ol4v9lw,hot_take,hot_take,openai/gpt-oss-20b
ol51kxs,hot_take,hot_take,openai/gpt-oss-20b
ol2wa27,analysis,analysis,openai/gpt-oss-20b
ol2po2j,hot_take,hot_take,openai/gpt-oss-20b
ol2wk5p,hot_take,hot_take,openai/gpt-oss-20b
ol2w9l2,hot_take,hot_take,openai/gpt-oss-20b
ol2psj1,hot_take,hot_take,openai/gpt-oss-20b
ol2nvvh,hot_take,hot_take,openai/gpt-oss-20b
ol3euwx,hot_take,hot_take,openai/gpt-oss-20b
ol32wgx,banter,banter,openai/gpt-oss-20b
ol54xpr,hot_take,hot_take,openai/gpt-oss-20b
ol4bil4,banter,banter,openai/gpt-oss-20b
ol410fa,banter,banter,openai/gpt-oss-20b
omzyllm,hot_take,hot_take,openai/gpt-oss-20b
ol322nj,hot_take,hot_take,openai/gpt-oss-20b
ol5wg84,hot_take,hot_take,openai/gpt-oss-20b
ol57qu3,banter,banter,openai/gpt-oss-20b
ol56wjt,banter,banter,openai/gpt-oss-20b
ol6m9n4,reaction,reaction,openai/gpt-oss-20b
ol712cv,analysis,analysis,openai/gpt-oss-20b
ol6wk9d,hot_take,hot_take,openai/gpt-oss-20b
ol5oxnf,reaction,reaction,openai/gpt-oss-20b
ol3zlyd,hot_take,hot_take,openai/gpt-oss-20b
ol3v22j,hot_take,hot_take,openai/gpt-oss-20b
ol9ayi7,hot_take,hot_take,openai/gpt-oss-20b
ol3v8mi,hot_take,hot_take,openai/gpt-oss-20b
ol44em0,banter,banter,openai/gpt-oss-20b
ol78tji,hot_take,hot_take,openai/gpt-oss-20b
ol4nnp3,hot_take,hot_take,openai/gpt-oss-20b
ol3036g,hot_take,hot_take,openai/gpt-oss-20b
ol2ng7u,hot_take,hot_take,openai/gpt-oss-20b
ol2nc6c,hot_take,hot_take,openai/gpt-oss-20b
ol48bsq,hot_take,hot_take,openai/gpt-oss-20b
ol2ombi,hot_take,hot_take,openai/gpt-oss-20b
ol2rtxg,analysis,analysis,openai/gpt-oss-20b
ol2pm26,hot_take,hot_take,openai/gpt-oss-20b
ol495bw,banter,banter,openai/gpt-oss-20b
onm0yfd,hot_take,hot_take,openai/gpt-oss-20b
onms3ry,hot_take,hot_take,openai/gpt-oss-20b
onnhl6s,hot_take,hot_take,openai/gpt-oss-20b
onm2jw7,hot_take,hot_take,openai/gpt-oss-20b
onp2x1r,banter,banter,openai/gpt-oss-20b
onnao95,hot_take,hot_take,openai/gpt-oss-20b
onm4yaa,analysis,analysis,openai/gpt-oss-20b
onq440w,hot_take,hot_take,openai/gpt-oss-20b
onp8z60,hot_take,hot_take,openai/gpt-oss-20b
onp6m0o,hot_take,hot_take,openai/gpt-oss-20b
onphbgk,hot_take,hot_take,openai/gpt-oss-20b
onv6ke4,hot_take,hot_take,openai/gpt-oss-20b
onpcuca,hot_take,hot_take,openai/gpt-oss-20b
onpbzg4,hot_take,hot_take,openai/gpt-oss-20b
onsitw5,reaction,reaction,openai/gpt-oss-20b
onsgxdq,analysis,analysis,openai/gpt-oss-20b
onsfibi,hot_take,hot_take,openai/gpt-oss-20b
onuwxoc,hot_take,hot_take,openai/gpt-oss-20b
onv0cua,hot_take,hot_take,openai/gpt-oss-20b
onshsrw,hot_take,hot_take,openai/gpt-oss-20b
onmtjh1,hot_take,hot_take,openai/gpt-oss-20b
onngo3o,hot_take,hot_take,openai/gpt-oss-20b
onmjicz,banter,banter,openai/gpt-oss-20b
onmwod0,hot_take,hot_take,openai/gpt-oss-20b
onn2xfk,hot_take,hot_take,openai/gpt-oss-20b
onn0vss,reaction,reaction,openai/gpt-oss-20b
onn3do3,banter,banter,openai/gpt-oss-20b
onmfoey,hot_take,hot_take,openai/gpt-oss-20b
onn4tdu,reaction,reaction,openai/gpt-oss-20b
onnop67,banter,banter,openai/gpt-oss-20b
oro5z7d,hot_take,hot_take,openai/gpt-oss-20b
oro5y5k,banter,banter,openai/gpt-oss-20b
oroecst,reaction,reaction,openai/gpt-oss-20b
orog3pi,hot_take,hot_take,openai/gpt-oss-20b
orq5w8u,hot_take,hot_take,openai/gpt-oss-20b
orppca8,hot_take,hot_take,openai/gpt-oss-20b
oro6y3t,hot_take,hot_take,openai/gpt-oss-20b
os0jlv0,banter,banter,openai/gpt-oss-20b
ororvay,hot_take,hot_take,openai/gpt-oss-20b
oroo28s,hot_take,hot_take,openai/gpt-oss-20b
oroorfh,hot_take,hot_take,openai/gpt-oss-20b
orom3jk,analysis,analysis,openai/gpt-oss-20b
orp43s1,hot_take,hot_take,openai/gpt-oss-20b
orpq62c,hot_take,hot_take,openai/gpt-oss-20b
ounlupm,hot_take,hot_take,openai/gpt-oss-20b
orr50nl,hot_take,hot_take,openai/gpt-oss-20b
orrwpcg,analysis,analysis,openai/gpt-oss-20b
oroww9l,hot_take,hot_take,openai/gpt-oss-20b
orpecr1,banter,banter,openai/gpt-oss-20b
oroxmkb,hot_take,hot_take,openai/gpt-oss-20b
orox85f,hot_take,hot_take,openai/gpt-oss-20b
orp7mxm,hot_take,hot_take,openai/gpt-oss-20b
osb2edt,hot_take,hot_take,openai/gpt-oss-20b
orrjckh,analysis,analysis,openai/gpt-oss-20b
ors8hya,banter,banter,openai/gpt-oss-20b
orow1kh,analysis,analysis,openai/gpt-oss-20b
orxcx32,hot_take,hot_take,openai/gpt-oss-20b
nyyl6si,hot_take,hot_take,openai/gpt-oss-20b
nyyp748,hot_take,hot_take,openai/gpt-oss-20b
nyylfgc,analysis,analysis,openai/gpt-oss-20b
nyylxxw,analysis,analysis,openai/gpt-oss-20b
nyyquf5,hot_take,hot_take,openai/gpt-oss-20b
nzjn06j,hot_take,hot_take,openai/gpt-oss-20b
nz2kw73,analysis,analysis,openai/gpt-oss-20b
nz2coli,analysis,analysis,openai/gpt-oss-20b
nz1p9zb,analysis,analysis,openai/gpt-oss-20b
nz399ng,hot_take,hot_take,openai/gpt-oss-20b
nz0fpr4,reaction,reaction,openai/gpt-oss-20b
nz0wt2k,hot_take,hot_take,openai/gpt-oss-20b
nz0rhvh,reaction,reaction,openai/gpt-oss-20b
o4dlq7z,reaction,reaction,openai/gpt-oss-20b
o4ck5j7,hot_take,hot_take,openai/gpt-oss-20b
o4bdn75,hot_take,hot_take,openai/gpt-oss-20b
o4cz0m1,hot_take,hot_take,openai/gpt-oss-20b
o4b7i6g,hot_take,hot_take,openai/gpt-oss-20b
o4ibo5r,analysis,analysis,openai/gpt-oss-20b
o4e1lwc,hot_take,hot_take,openai/gpt-oss-20b
o4e1tfp,hot_take,hot_take,openai/gpt-oss-20b
o4dy3u0,hot_take,hot_take,openai/gpt-oss-20b
o4e29lt,hot_take,hot_take,openai/gpt-oss-20b
o9d78z4,analysis,analysis,openai/gpt-oss-20b
o9e4kyr,hot_take,hot_take,openai/gpt-oss-20b
o9d6qsi,hot_take,hot_take,openai/gpt-oss-20b
o9d71zt,analysis,analysis,openai/gpt-oss-20b
o9hhkqk,hot_take,hot_take,openai/gpt-oss-20b
o9g73gr,analysis,analysis,openai/gpt-oss-20b
o9fbebw,hot_take,hot_take,openai/gpt-oss-20b
o9ed7ch,hot_take,hot_take,openai/gpt-oss-20b
o9eb245,analysis,analysis,openai/gpt-oss-20b
o9ead5e,analysis,analysis,openai/gpt-oss-20b
o9ej3in,analysis,analysis,openai/gpt-oss-20b
o9dew3d,hot_take,hot_take,openai/gpt-oss-20b
o9dc36r,hot_take,hot_take,openai/gpt-oss-20b
o9dsu4v,hot_take,hot_take,openai/gpt-oss-20b
o9d8awz,hot_take,hot_take,openai/gpt-oss-20b
o9i7nr2,hot_take,hot_take,openai/gpt-oss-20b
o9g7y0s,reaction,reaction,openai/gpt-oss-20b
o9g7ncp,hot_take,hot_take,openai/gpt-oss-20b
o9g7rfv,hot_take,hot_take,openai/gpt-oss-20b
oftdfr5,hot_take,hot_take,openai/gpt-oss-20b
oftcx0t,analysis,analysis,openai/gpt-oss-20b
oftcn4p,analysis,analysis,openai/gpt-oss-20b
oft9mge,hot_take,hot_take,openai/gpt-oss-20b
ofsytj0,hot_take,hot_take,openai/gpt-oss-20b
ofszioj,hot_take,hot_take,openai/gpt-oss-20b
oft1a2m,hot_take,hot_take,openai/gpt-oss-20b
nz2hlvm,hot_take,hot_take,openai/gpt-oss-20b
nz2w38u,hot_take,hot_take,openai/gpt-oss-20b
nz2v19r,hot_take,hot_take,openai/gpt-oss-20b
nz2dsq5,reaction,reaction,openai/gpt-oss-20b
nz2t1ep,banter,banter,openai/gpt-oss-20b
o4bjeup,hot_take,hot_take,openai/gpt-oss-20b
o4bjfnl,reaction,reaction,openai/gpt-oss-20b
o4b8ung,reaction,reaction,openai/gpt-oss-20b
o4b8uro,hot_take,hot_take,openai/gpt-oss-20b
o4bande,hot_take,hot_take,openai/gpt-oss-20b
o4djebv,hot_take,hot_take,openai/gpt-oss-20b
o4e8a2e,banter,banter,openai/gpt-oss-20b
o4cha8h,hot_take,hot_take,openai/gpt-oss-20b
o4cvcqc,hot_take,hot_take,openai/gpt-oss-20b
o4e9u2j,hot_take,hot_take,openai/gpt-oss-20b
o4e73m4,hot_take,hot_take,openai/gpt-oss-20b
o4d80qs,banter,banter,openai/gpt-oss-20b
o4fyg3x,reaction,reaction,openai/gpt-oss-20b
o4eo96f,hot_take,hot_take,openai/gpt-oss-20b
o4bzk6m,reaction,reaction,openai/gpt-oss-20b
o4e2ne7,reaction,reaction,openai/gpt-oss-20b
o4bxim8,reaction,reaction,openai/gpt-oss-20b
o4dx7wi,banter,banter,openai/gpt-oss-20b
o4e76a7,hot_take,hot_take,openai/gpt-oss-20b
o4dibo2,reaction,reaction,openai/gpt-oss-20b
o4fcm1r,reaction,reaction,openai/gpt-oss-20b
o4d2uhg,hot_take,hot_take,openai/gpt-oss-20b
o4i60n7,hot_take,hot_take,openai/gpt-oss-20b
o4b2s0h,reaction,reaction,openai/gpt-oss-20b
o9evw71,reaction,reaction,openai/gpt-oss-20b
o9eti72,hot_take,hot_take,openai/gpt-oss-20b
o9es36e,hot_take,hot_take,openai/gpt-oss-20b
o9e9v0t,reaction,reaction,openai/gpt-oss-20b
o9e8no0,hot_take,hot_take,openai/gpt-oss-20b
o9dpl69,banter,banter,openai/gpt-oss-20b
o9fg20p,hot_take,hot_take,openai/gpt-oss-20b
o9eanwf,hot_take,hot_take,openai/gpt-oss-20b
o9dsnvo,hot_take,hot_take,openai/gpt-oss-20b
o9dify4,hot_take,hot_take,openai/gpt-oss-20b
o9dl21h,hot_take,hot_take,openai/gpt-oss-20b
o9e28zd,analysis,analysis,openai/gpt-oss-20b
o9dov66,hot_take,hot_take,openai/gpt-oss-20b
o9ew80w,hot_take,hot_take,openai/gpt-oss-20b
o9dl6o0,reaction,reaction,openai/gpt-oss-20b
o9fcnne,hot_take,hot_take,openai/gpt-oss-20b
o9gk2xe,banter,banter,openai/gpt-oss-20b
o9eei1f,hot_take,hot_take,openai/gpt-oss-20b
o9euyly,hot_take,hot_take,openai/gpt-oss-20b
o9e3blh,hot_take,hot_take,openai/gpt-oss-20b
o9e9rc5,reaction,reaction,openai/gpt-oss-20b
ofwfkjz,reaction,reaction,openai/gpt-oss-20b
ofvzjsa,hot_take,hot_take,openai/gpt-oss-20b
ofz75yg,hot_take,hot_take,openai/gpt-oss-20b
